社名,問い合わせからの経過日数,接触回数,最終接触からの経過日数,資料請求,デモ版利用,セミナー参加,顧客の業種,顧客の従業員規模,商談フェーズ,提案金額,競合,導入予定時期,決裁者の関与度,企業規模（売上高）,契約成立
企業_1151_T6U22WWV,90,4,37,0,0,1,小売,11-50名,クロージング,700000,1,未定,低い,1億円～10億円,0
企業_1152_RN86ELLZ,75,0,12,0,0,1,IT,11-50名,クロージング,4380000,0,1年以内,高い,1億円～10億円,1
企業_1153_A0FEAG9Q,38,6,6,1,0,0,製造業,11-50名,初期ヒアリング,1400000,0,半年以内,低い,1億円未満,0
企業_1154_HOAKGII1,130,5,10,0,1,1,金融,1-10名,交渉,2580000,1,未定,普通,1億円～10億円,1
企業_1155_DKWB1RHU,135,1,73,0,1,1,サービス,11-50名,見積もり,1730000,1,1年以内,低い,10億円～100億円,1
企業_1156_HKARYKPV,162,6,49,1,0,1,製造業,1-10名,交渉,4880000,0,未定,高い,1億円未満,0
企業_1157_ILXVXHID,91,5,66,0,1,0,金融,11-50名,提案,2160000,1,1年以内,高い,10億円～100億円,1
企業_1158_U506MR0B,17,4,40,0,1,0,小売,101-500名,クロージング,2470000,1,1年以内,低い,1億円～10億円,0
企業_1159_QDNYZR8Y,128,7,28,1,1,0,その他,1-10名,交渉,2010000,1,半年以内,高い,1億円未満,0
企業_1160_7SPTO82Z,171,4,36,1,1,1,小売,101-500名,交渉,370000,0,1年以内,普通,10億円～100億円,1
企業_1161_5SG9YS31,108,1,55,1,0,0,IT,51-100名,クロージング,1160000,1,半年以内,低い,1億円未満,0
企業_1162_JOYK0KRN,179,5,79,1,1,1,IT,1-10名,見積もり,2320000,0,未定,低い,10億円～100億円,0
企業_1163_L1OS9FVU,152,0,15,0,1,1,その他,1-10名,初期ヒアリング,3890000,1,1年以内,高い,100億円以上,0
企業_1164_ZTCSWVC7,25,4,43,0,1,0,サービス,501名以上,交渉,4380000,0,半年以内,高い,1億円未満,0
企業_1165_9QZC4S4Q,88,5,49,0,0,0,製造業,1-10名,クロージング,930000,0,3ヶ月以内,低い,1億円～10億円,1
企業_1166_8EVOS8U3,161,6,70,0,1,1,その他,101-500名,クロージング,2460000,1,1年以内,普通,1億円未満,1
企業_1167_PFZR0K0L,177,1,78,0,1,0,製造業,501名以上,交渉,1580000,0,3ヶ月以内,低い,1億円未満,0
企業_1168_MNQH52R6,29,0,5,1,1,0,金融,11-50名,交渉,2920000,0,未定,普通,1億円～10億円,1
企業_1169_95TKTH72,63,5,17,0,0,1,サービス,1-10名,初期ヒアリング,3480000,1,1年以内,普通,100億円以上,1
企業_1170_E828WNSY,150,2,18,0,1,1,IT,11-50名,クロージング,1090000,0,3ヶ月以内,高い,1億円未満,1
企業_1171_L7LOBQZ8,154,4,50,1,0,1,サービス,51-100名,初期ヒアリング,3410000,1,1年以内,低い,10億円～100億円,0
企業_1172_47DDJ7NR,156,1,65,0,1,0,小売,11-50名,クロージング,440000,1,半年以内,低い,10億円～100億円,1
企業_1173_B0MJKHWU,114,0,2,0,0,1,IT,1-10名,クロージング,4410000,0,未定,高い,100億円以上,0
企業_1174_I3PD1JGU,49,0,88,1,0,0,製造業,11-50名,交渉,1060000,0,1年以内,高い,10億円～100億円,0
企業_1175_OIQ68BMC,81,3,53,1,1,1,IT,1-10名,見積もり,3650000,0,3ヶ月以内,普通,10億円～100億円,1
企業_1176_3V33YGFP,84,9,48,0,1,0,小売,1-10名,交渉,2420000,0,1年以内,高い,1億円未満,1
企業_1177_8PMJFZD7,105,1,27,1,0,0,IT,501名以上,見積もり,4160000,1,3ヶ月以内,高い,10億円～100億円,1
企業_1178_1RKGIUS9,177,0,37,0,0,1,その他,101-500名,クロージング,4570000,1,半年以内,高い,10億円～100億円,0
企業_1179_81GRRH7B,148,5,27,0,1,0,製造業,11-50名,見積もり,220000,1,半年以内,低い,1億円未満,1
企業_1180_PE8TJTL8,118,3,31,1,1,0,小売,11-50名,クロージング,2550000,0,未定,高い,1億円～10億円,1
企業_1181_F18J40UG,86,9,40,0,1,0,その他,101-500名,クロージング,4230000,1,半年以内,普通,100億円以上,1
企業_1182_RT1ERK3S,63,6,35,1,1,1,金融,11-50名,見積もり,4670000,1,未定,普通,10億円～100億円,0
企業_1183_X1TEFCYX,104,5,35,1,1,0,サービス,501名以上,交渉,4980000,1,未定,高い,10億円～100億円,1
企業_1184_MT33FZKX,49,4,86,0,1,1,その他,51-100名,見積もり,4130000,0,未定,普通,100億円以上,1
企業_1185_BXI4OBSD,71,9,65,0,1,1,金融,101-500名,初期ヒアリング,2710000,0,未定,低い,1億円未満,0
企業_1186_DDBAZRX9,1,1,9,1,0,0,小売,101-500名,クロージング,2320000,0,未定,低い,1億円～10億円,1
企業_1187_QRSNEY0E,141,4,69,1,0,0,小売,51-100名,提案,4120000,0,3ヶ月以内,普通,100億円以上,0
企業_1188_RI41CCY8,179,8,71,1,1,1,小売,101-500名,クロージング,4600000,1,未定,高い,1億円未満,1
企業_1189_PUSCB6RU,123,8,78,1,1,1,製造業,1-10名,クロージング,830000,0,3ヶ月以内,高い,10億円～100億円,1
企業_1190_XRR0JYN3,62,1,62,0,1,0,小売,51-100名,見積もり,2750000,1,1年以内,高い,10億円～100億円,0
企業_1191_OT5931TK,32,6,21,1,0,1,サービス,1-10名,初期ヒアリング,1930000,0,1年以内,普通,100億円以上,1
企業_1192_WLXKCJWS,158,9,19,0,0,1,製造業,11-50名,交渉,2860000,1,未定,普通,10億円～100億円,1
企業_1193_O4HP90LG,29,3,32,1,1,1,小売,1-10名,交渉,3920000,0,3ヶ月以内,低い,100億円以上,0
企業_1194_LG6P87ID,49,2,14,1,1,0,製造業,1-10名,提案,650000,1,未定,低い,1億円未満,1
企業_1195_NLJZ396D,173,0,6,0,0,0,サービス,501名以上,見積もり,660000,1,1年以内,低い,10億円～100億円,0
企業_1196_F88TSA9H,30,2,87,0,0,1,サービス,11-50名,交渉,3950000,0,3ヶ月以内,高い,100億円以上,1
企業_1197_L8YPYRRA,144,8,89,1,0,0,その他,501名以上,クロージング,3040000,0,1年以内,普通,100億円以上,1
企業_1198_N8S45G7I,168,8,49,0,1,0,製造業,11-50名,見積もり,700000,0,1年以内,低い,1億円～10億円,1
企業_1199_GKHWTSR6,19,6,9,0,1,1,IT,1-10名,提案,1820000,0,未定,高い,1億円～10億円,1
企業_1200_LM2OR8GT,18,2,78,0,0,1,金融,101-500名,交渉,4870000,0,3ヶ月以内,普通,1億円未満,0
企業_1201_5EGCJZJ7,1,2,36,0,1,0,小売,101-500名,クロージング,1190000,0,1年以内,低い,1億円未満,0
企業_1202_SJOM2Q2C,78,3,58,1,1,0,金融,101-500名,クロージング,4210000,0,1年以内,高い,10億円～100億円,1
企業_1203_07QQG6GB,115,6,87,0,1,0,サービス,501名以上,クロージング,1550000,0,3ヶ月以内,普通,100億円以上,1
企業_1204_PEXWITMF,175,6,74,1,0,0,金融,51-100名,初期ヒアリング,230000,1,3ヶ月以内,低い,1億円未満,1
企業_1205_Z2292A5G,113,1,62,1,0,0,IT,501名以上,交渉,1920000,1,半年以内,高い,10億円～100億円,0
企業_1206_WMI5WYVI,114,4,20,1,0,0,金融,501名以上,見積もり,3240000,0,1年以内,低い,10億円～100億円,0
企業_1207_U8XLCK8O,166,6,78,1,1,0,その他,51-100名,クロージング,3740000,1,未定,普通,100億円以上,0
企業_1208_8SELPGV1,179,6,78,0,1,1,金融,11-50名,クロージング,1560000,1,半年以内,普通,1億円未満,0
企業_1209_BYRL14AG,63,5,36,1,0,0,サービス,101-500名,初期ヒアリング,2410000,0,1年以内,普通,10億円～100億円,0
企業_1210_2LUOSVHI,132,9,44,1,1,0,サービス,11-50名,見積もり,4930000,0,3ヶ月以内,高い,1億円未満,0
企業_1211_2RQP2MS5,129,9,13,0,0,0,その他,51-100名,見積もり,3060000,1,1年以内,低い,1億円未満,0
企業_1212_JWJS50QF,8,7,42,0,1,0,小売,1-10名,見積もり,1490000,0,未定,高い,1億円～10億円,0
企業_1213_WQSWE90C,157,2,84,0,1,1,製造業,501名以上,初期ヒアリング,1570000,1,1年以内,低い,1億円～10億円,0
企業_1214_AA4KNJSV,55,0,83,1,1,1,小売,101-500名,クロージング,4270000,0,1年以内,普通,10億円～100億円,1
企業_1215_DRPS9M0F,103,2,32,0,1,1,サービス,11-50名,提案,3900000,1,1年以内,高い,1億円未満,0
企業_1216_5FEKFB8D,131,1,2,1,1,0,小売,11-50名,クロージング,450000,0,3ヶ月以内,普通,100億円以上,1
企業_1217_0BGYXLW7,32,1,86,1,0,0,金融,101-500名,交渉,2860000,1,未定,普通,100億円以上,0
企業_1218_LD7CE8YU,10,1,43,1,0,1,金融,501名以上,初期ヒアリング,650000,0,半年以内,高い,10億円～100億円,1
企業_1219_LPGU108Y,110,4,86,0,1,1,サービス,1-10名,見積もり,4760000,1,半年以内,高い,100億円以上,1
企業_1220_JPPVBQAN,162,0,34,1,0,0,サービス,11-50名,提案,500000,1,1年以内,普通,100億円以上,0
企業_1221_XYLIHCEW,124,9,24,1,1,0,小売,101-500名,初期ヒアリング,3920000,0,1年以内,低い,1億円未満,0
企業_1222_NV0S2OMC,87,3,85,0,1,0,小売,11-50名,初期ヒアリング,1780000,1,半年以内,高い,10億円～100億円,1
企業_1223_J67OPUZU,55,9,7,1,1,1,金融,501名以上,提案,1800000,1,1年以内,高い,1億円未満,1
企業_1224_MZGV2FRG,32,4,61,0,0,0,製造業,501名以上,交渉,1150000,0,半年以内,高い,10億円～100億円,0
企業_1225_L26A2OC8,178,1,17,0,1,1,その他,1-10名,提案,2360000,1,未定,普通,1億円未満,0
企業_1226_I0PLKB0U,135,4,27,0,1,1,製造業,101-500名,交渉,4650000,1,3ヶ月以内,高い,10億円～100億円,1
企業_1227_ZC4Q3S1J,93,9,74,0,0,1,サービス,101-500名,初期ヒアリング,950000,1,3ヶ月以内,普通,10億円～100億円,0
企業_1228_4VF28IJ6,8,3,11,0,1,0,小売,51-100名,交渉,3030000,0,3ヶ月以内,普通,100億円以上,1
企業_1229_NLOCE8XP,65,7,63,0,0,0,製造業,101-500名,交渉,1550000,1,3ヶ月以内,高い,100億円以上,0
企業_1230_JNC06N6M,57,0,1,1,0,1,小売,101-500名,見積もり,2730000,0,3ヶ月以内,高い,10億円～100億円,0
企業_1231_PYWJ3I7E,67,4,58,0,0,1,IT,11-50名,クロージング,2560000,1,1年以内,高い,100億円以上,0
企業_1232_4TI3I5AQ,72,9,36,1,0,1,金融,1-10名,クロージング,4590000,0,3ヶ月以内,普通,1億円～10億円,1
企業_1233_G53SRIVN,54,0,3,1,0,0,その他,51-100名,初期ヒアリング,1570000,1,1年以内,低い,100億円以上,0
企業_1234_VGJTVIRO,67,9,40,1,0,0,小売,101-500名,初期ヒアリング,4620000,0,未定,高い,1億円～10億円,0
企業_1235_3NHSS2Q1,51,9,44,1,0,0,その他,11-50名,クロージング,4500000,1,未定,普通,1億円未満,1
企業_1236_FE2RS42G,97,3,33,0,1,1,小売,51-100名,提案,3710000,1,1年以内,高い,10億円～100億円,0
企業_1237_PBNISWAL,92,7,86,1,1,0,小売,1-10名,見積もり,2310000,0,半年以内,低い,100億円以上,0
企業_1238_JBOVVI25,8,0,12,0,1,0,その他,1-10名,クロージング,1550000,1,半年以内,高い,10億円～100億円,1
企業_1239_BZT0U1M8,162,1,6,1,1,0,その他,1-10名,見積もり,1170000,1,3ヶ月以内,普通,1億円～10億円,1
企業_1240_O5Q76EQC,35,0,31,0,1,0,製造業,51-100名,見積もり,4530000,1,半年以内,低い,100億円以上,1
企業_1241_IUP9VZUA,96,6,22,0,1,1,小売,501名以上,クロージング,2240000,0,1年以内,高い,1億円～10億円,1
企業_1242_GEJDIFCW,88,1,48,1,1,0,IT,51-100名,初期ヒアリング,2540000,0,未定,高い,1億円未満,0
企業_1243_561L7FWR,78,0,71,0,1,0,製造業,1-10名,提案,1390000,1,3ヶ月以内,低い,1億円～10億円,0
企業_1244_AAWAKQDK,32,5,46,0,0,1,サービス,11-50名,初期ヒアリング,4350000,0,半年以内,普通,10億円～100億円,1
企業_1245_ENQ7I65O,120,5,36,0,1,1,サービス,51-100名,クロージング,730000,1,3ヶ月以内,普通,1億円～10億円,0
企業_1246_5IB96CHB,46,9,47,0,1,0,金融,11-50名,クロージング,3090000,0,未定,高い,1億円未満,1
企業_1247_QING9EGH,144,1,28,1,0,0,IT,501名以上,クロージング,4440000,0,半年以内,低い,100億円以上,0
企業_1248_ERPE5O86,165,0,36,1,0,1,小売,1-10名,クロージング,3660000,0,1年以内,普通,1億円未満,0
企業_1249_TX1L8K3X,142,9,22,1,0,1,IT,1-10名,提案,3710000,1,3ヶ月以内,普通,1億円未満,1
企業_1250_IM6FDOFY,55,2,37,1,1,0,サービス,11-50名,初期ヒアリング,2330000,1,3ヶ月以内,低い,1億円未満,0
企業_1251_9K343R78,176,9,43,0,0,0,小売,501名以上,見積もり,740000,0,半年以内,高い,1億円～10億円,0
企業_1252_S88ERTMC,7,4,4,1,0,0,IT,1-10名,交渉,4960000,0,半年以内,高い,100億円以上,1
企業_1253_QHM3U5V5,74,5,51,1,0,1,その他,51-100名,見積もり,740000,0,未定,普通,100億円以上,0
企業_1254_T0ARWKQ9,7,2,39,0,0,1,製造業,11-50名,クロージング,3830000,0,1年以内,高い,10億円～100億円,1
企業_1255_9QXI1HVU,161,8,10,0,1,0,小売,501名以上,クロージング,3890000,1,半年以内,普通,100億円以上,0
企業_1256_05VLRBB6,151,4,77,1,0,0,その他,11-50名,提案,1910000,0,1年以内,低い,1億円未満,1
企業_1257_FCT6E37T,85,1,1,1,1,1,製造業,1-10名,クロージング,1170000,0,未定,高い,10億円～100億円,1
企業_1258_D542V8IH,147,9,34,1,0,1,IT,11-50名,クロージング,3600000,0,半年以内,普通,1億円～10億円,0
企業_1259_PYXKE2ZY,112,5,44,0,0,1,小売,51-100名,交渉,4320000,0,3ヶ月以内,低い,10億円～100億円,1
企業_1260_EKH0E6DO,125,7,48,1,0,1,金融,1-10名,見積もり,4010000,1,1年以内,普通,1億円～10億円,1
企業_1261_3ULZ8DAX,147,5,34,0,1,0,金融,501名以上,初期ヒアリング,3320000,1,1年以内,高い,1億円～10億円,1
企業_1262_75CJBJIW,36,3,71,0,0,0,サービス,501名以上,クロージング,1200000,1,1年以内,低い,1億円未満,1
企業_1263_Q9OETUPB,29,5,31,1,1,1,その他,1-10名,見積もり,850000,1,半年以内,高い,1億円未満,1
企業_1264_I6VDXFVU,82,7,67,0,0,1,小売,501名以上,交渉,2590000,0,未定,低い,1億円未満,0
企業_1265_EAF87CLA,2,7,70,0,1,1,その他,101-500名,提案,2500000,1,3ヶ月以内,普通,1億円未満,0
企業_1266_YPPKYM9V,129,9,38,1,1,1,IT,1-10名,初期ヒアリング,2350000,1,半年以内,低い,1億円～10億円,1
企業_1267_NR3LSDXJ,47,1,47,0,0,0,金融,1-10名,提案,3140000,0,3ヶ月以内,高い,100億円以上,1
企業_1268_CIGHDVV6,148,7,36,0,0,1,その他,51-100名,交渉,4820000,1,1年以内,低い,100億円以上,0
企業_1269_SFFNVOJZ,11,5,59,0,0,0,サービス,1-10名,見積もり,1730000,1,未定,低い,1億円～10億円,0
企業_1270_3G4FJQ61,130,1,80,1,1,0,小売,51-100名,初期ヒアリング,2720000,1,1年以内,低い,1億円～10億円,0
企業_1271_IDL8P694,119,0,73,0,0,0,金融,1-10名,初期ヒアリング,240000,1,1年以内,低い,100億円以上,0
企業_1272_7AREJAOS,140,5,3,0,1,0,その他,51-100名,初期ヒアリング,3500000,1,未定,高い,100億円以上,1
企業_1273_6AYXM9KP,20,6,22,0,1,0,その他,51-100名,提案,1620000,1,1年以内,高い,1億円～10億円,0
企業_1274_J588N7P8,5,9,13,1,1,1,小売,101-500名,初期ヒアリング,4500000,0,未定,普通,1億円未満,1
企業_1275_RRRZ1FEE,37,4,4,1,1,0,サービス,501名以上,見積もり,470000,0,3ヶ月以内,普通,1億円～10億円,1
企業_1276_WLLKDVAC,166,9,65,1,1,1,IT,11-50名,交渉,460000,0,1年以内,低い,1億円～10億円,1
企業_1277_3WHUJABF,137,7,23,1,1,1,サービス,51-100名,交渉,1310000,0,半年以内,低い,1億円未満,1
企業_1278_8S2HJKNH,53,8,17,1,1,0,IT,101-500名,初期ヒアリング,2810000,1,半年以内,普通,1億円～10億円,1
企業_1279_V4XNUT7K,172,3,26,1,0,1,製造業,51-100名,クロージング,2660000,1,未定,普通,1億円未満,1
企業_1280_WAOO7L4C,99,6,23,1,0,1,その他,11-50名,クロージング,1840000,1,3ヶ月以内,高い,10億円～100億円,1
企業_1281_QRUY9AES,86,7,28,0,1,1,その他,1-10名,見積もり,4450000,1,未定,低い,10億円～100億円,0
企業_1282_7K9ET3L1,108,5,10,0,0,0,金融,51-100名,提案,3020000,1,1年以内,普通,1億円～10億円,0
企業_1283_5R433YFT,24,1,17,1,0,0,製造業,101-500名,初期ヒアリング,3100000,0,未定,普通,1億円～10億円,0
企業_1284_HRUJBBC5,81,6,3,1,1,0,その他,501名以上,見積もり,1510000,0,半年以内,高い,100億円以上,0
企業_1285_LT67RB70,158,8,32,1,0,1,IT,1-10名,交渉,4500000,0,3ヶ月以内,普通,1億円未満,1
企業_1286_36VKEY4E,120,4,77,0,1,1,小売,501名以上,見積もり,1710000,1,1年以内,普通,1億円～10億円,1
企業_1287_OOYVGSUV,59,1,41,0,1,1,IT,11-50名,初期ヒアリング,4590000,0,未定,普通,10億円～100億円,0
企業_1288_Q3IK5LP5,128,3,31,0,0,1,その他,1-10名,クロージング,4240000,1,3ヶ月以内,低い,100億円以上,1
企業_1289_4RE6HDE8,114,2,50,0,1,0,その他,501名以上,見積もり,3480000,0,未定,高い,1億円～10億円,1
企業_1290_OM9VTLLE,115,3,3,1,1,0,IT,101-500名,クロージング,4760000,0,半年以内,普通,1億円～10億円,1
企業_1291_ACNLMG9R,14,9,19,0,0,0,小売,101-500名,提案,4370000,1,未定,普通,1億円～10億円,1
企業_1292_RUTSBC23,9,6,84,0,0,1,製造業,501名以上,交渉,320000,0,1年以内,高い,100億円以上,0
企業_1293_I4S41PSU,40,9,66,0,1,1,その他,1-10名,クロージング,3590000,1,3ヶ月以内,普通,10億円～100億円,0
企業_1294_NCS5IF5E,25,7,88,1,0,1,金融,51-100名,見積もり,3460000,0,1年以内,高い,1億円～10億円,0
企業_1295_XVDN3QF7,103,0,67,1,1,1,IT,11-50名,交渉,750000,1,1年以内,普通,10億円～100億円,1
企業_1296_GZOBQMFW,22,7,61,1,0,0,IT,11-50名,交渉,4040000,0,半年以内,低い,100億円以上,1
企業_1297_0T2HC6UW,4,4,57,0,0,1,金融,101-500名,クロージング,4420000,1,半年以内,低い,10億円～100億円,1
企業_1298_EFLGW1BP,154,6,46,0,0,0,IT,1-10名,初期ヒアリング,4710000,0,未定,高い,100億円以上,1
企業_1299_ZJLZRPMH,29,0,74,0,1,0,金融,1-10名,クロージング,4980000,1,未定,普通,100億円以上,1
企業_1300_E7H03URP,109,1,79,1,0,1,金融,11-50名,交渉,670000,0,未定,低い,100億円以上,1
企業_1301_JQHV0WE0,98,0,58,1,1,0,金融,11-50名,初期ヒアリング,380000,1,未定,高い,1億円未満,1
企業_1302_BS3RA7GE,37,4,5,0,1,0,小売,11-50名,初期ヒアリング,920000,1,未定,普通,10億円～100億円,1
企業_1303_VW02IDT8,75,5,39,0,1,1,製造業,11-50名,クロージング,4850000,0,未定,低い,1億円未満,1
企業_1304_15QPY649,70,9,76,1,0,0,製造業,501名以上,交渉,4440000,1,1年以内,普通,1億円未満,0
企業_1305_NCDOJMUD,146,8,22,0,0,1,サービス,501名以上,提案,1380000,1,1年以内,低い,1億円未満,1
企業_1306_KNR1IOTV,128,7,51,0,1,1,小売,501名以上,交渉,1420000,1,1年以内,低い,10億円～100億円,0
企業_1307_TKA25H9H,85,6,3,0,1,0,サービス,501名以上,初期ヒアリング,1240000,1,1年以内,低い,10億円～100億円,0
企業_1308_LV0HQA5Z,42,4,36,1,0,1,その他,51-100名,初期ヒアリング,430000,1,1年以内,低い,1億円～10億円,1
企業_1309_Z3AWZ84A,100,2,41,1,0,0,製造業,101-500名,初期ヒアリング,1340000,0,未定,普通,1億円未満,0
企業_1310_GFNRI3QB,41,8,43,1,0,0,製造業,11-50名,提案,870000,0,1年以内,高い,10億円～100億円,0
企業_1311_24DO370D,166,4,41,1,0,0,製造業,51-100名,交渉,2840000,0,3ヶ月以内,普通,100億円以上,0
企業_1312_I3IF9FMK,34,2,28,1,1,0,IT,51-100名,見積もり,3530000,1,半年以内,普通,10億円～100億円,0
企業_1313_HR6L3ZMB,17,2,18,1,1,0,サービス,51-100名,初期ヒアリング,1770000,1,1年以内,普通,1億円未満,1
企業_1314_ERLDG4HS,165,2,83,1,0,0,小売,501名以上,初期ヒアリング,900000,1,3ヶ月以内,普通,1億円未満,0
企業_1315_JVNG8IWR,153,5,31,1,1,1,サービス,101-500名,提案,4590000,1,3ヶ月以内,高い,10億円～100億円,1
企業_1316_K83HP0ZV,122,0,43,1,0,0,その他,1-10名,見積もり,1040000,1,半年以内,普通,10億円～100億円,1
企業_1317_VZ2UUCMD,76,3,54,0,0,0,製造業,101-500名,見積もり,2180000,0,半年以内,普通,1億円～10億円,0
企業_1318_W0C57TC1,87,7,79,0,0,1,小売,11-50名,見積もり,4570000,1,未定,普通,10億円～100億円,0
企業_1319_3H4UXNX1,117,2,4,0,0,1,サービス,11-50名,見積もり,810000,0,3ヶ月以内,普通,100億円以上,1
企業_1320_XH4CWUXI,106,4,45,0,1,0,製造業,501名以上,提案,1540000,0,1年以内,高い,1億円未満,1
企業_1321_FJVAC8G0,86,1,75,1,1,1,製造業,501名以上,クロージング,470000,1,未定,普通,1億円未満,1
企業_1322_TA0P47EW,27,1,44,0,1,0,小売,1-10名,クロージング,4830000,1,半年以内,普通,100億円以上,0
企業_1323_QQVH4GOW,57,6,20,0,0,1,その他,11-50名,初期ヒアリング,1800000,0,未定,高い,100億円以上,1
企業_1324_OJ587P1W,31,9,77,0,1,1,金融,501名以上,交渉,490000,0,1年以内,普通,10億円～100億円,0
企業_1325_UOAGPUW3,134,2,21,1,0,1,小売,101-500名,交渉,1820000,1,3ヶ月以内,低い,1億円未満,1
企業_1326_BLO820WL,168,4,29,0,1,0,金融,1-10名,見積もり,4330000,1,半年以内,高い,10億円～100億円,0
企業_1327_0GT66FN3,98,2,22,0,0,1,その他,1-10名,見積もり,2080000,0,1年以内,低い,1億円未満,1
企業_1328_N20VRT4F,12,5,4,0,1,1,IT,11-50名,交渉,3850000,0,未定,高い,10億円～100億円,0
企業_1329_QGIWAOA9,53,9,62,1,0,0,小売,51-100名,クロージング,3530000,0,半年以内,高い,1億円未満,1
企業_1330_VIO4EG3K,138,2,58,0,1,0,金融,501名以上,交渉,2310000,0,3ヶ月以内,普通,10億円～100億円,0
企業_1331_X0H9DRAY,173,7,81,1,1,1,その他,1-10名,見積もり,990000,0,3ヶ月以内,普通,10億円～100億円,1
企業_1332_RHRRWSKJ,145,1,51,1,1,1,サービス,101-500名,提案,2950000,1,半年以内,普通,100億円以上,1
企業_1333_3J7BT42Z,154,2,64,0,1,1,製造業,1-10名,見積もり,1720000,1,1年以内,低い,100億円以上,0
企業_1334_RTGZYIZC,122,7,38,1,1,0,IT,101-500名,初期ヒアリング,4590000,1,1年以内,低い,1億円未満,0
企業_1335_FNKLXJHS,46,7,80,1,1,0,小売,51-100名,交渉,4370000,0,1年以内,普通,10億円～100億円,0
企業_1336_3A8MBTFF,64,0,2,0,1,1,金融,11-50名,提案,3970000,1,未定,低い,10億円～100億円,1
企業_1337_15065GGA,130,7,41,1,0,0,サービス,51-100名,提案,4570000,1,半年以内,普通,1億円未満,1
企業_1338_23S8W6RU,54,9,70,0,0,1,金融,11-50名,初期ヒアリング,1420000,1,未定,高い,100億円以上,0
企業_1339_TJCFI1L1,107,1,26,0,0,1,その他,1-10名,見積もり,4410000,0,1年以内,普通,1億円未満,0
企業_1340_SJ7AU8HF,51,6,27,0,1,0,小売,51-100名,見積もり,3310000,1,未定,高い,1億円未満,1
企業_1341_PAH82U97,36,5,53,1,1,0,その他,501名以上,クロージング,3600000,1,3ヶ月以内,低い,1億円未満,1
企業_1342_2SBJHWNL,115,1,14,0,0,0,金融,51-100名,クロージング,2920000,0,3ヶ月以内,高い,100億円以上,1
企業_1343_CWSOIEYL,26,4,52,0,1,0,小売,51-100名,交渉,1610000,1,1年以内,低い,10億円～100億円,0
企業_1344_92AQV2KN,29,6,71,0,0,1,金融,1-10名,交渉,3210000,0,未定,低い,100億円以上,1
企業_1345_4AR8D3MW,149,7,69,1,1,1,製造業,1-10名,提案,540000,0,未定,低い,1億円～10億円,0
企業_1346_4QIMYJB9,11,2,3,0,0,0,小売,11-50名,見積もり,3330000,0,半年以内,低い,100億円以上,0
企業_1347_39XX936X,40,0,16,1,1,1,小売,101-500名,交渉,4210000,0,半年以内,高い,100億円以上,1
企業_1348_Y09HZ5O1,11,6,33,1,1,0,IT,51-100名,提案,2700000,0,半年以内,普通,100億円以上,1
企業_1349_15I0WF6R,164,4,5,0,1,0,製造業,101-500名,提案,2280000,1,3ヶ月以内,普通,10億円～100億円,1
企業_1350_D6RT3OJL,113,4,35,1,1,1,小売,51-100名,提案,1170000,1,未定,高い,10億円～100億円,1
企業_1351_NXORT6SG,39,6,38,0,1,0,サービス,101-500名,初期ヒアリング,560000,1,3ヶ月以内,低い,10億円～100億円,1
企業_1352_0SZDR50D,54,0,79,1,1,1,金融,11-50名,クロージング,1420000,1,未定,低い,10億円～100億円,1
企業_1353_ZPO8I87R,98,7,65,0,0,0,サービス,1-10名,初期ヒアリング,2700000,0,1年以内,普通,1億円～10億円,1
企業_1354_2X0MMZDJ,55,9,7,0,0,1,金融,501名以上,見積もり,1850000,1,1年以内,高い,100億円以上,1
企業_1355_DK7ZTCLA,111,4,14,1,0,0,その他,101-500名,提案,1300000,1,3ヶ月以内,普通,1億円～10億円,1
企業_1356_KIXG21CZ,152,7,62,0,1,1,金融,1-10名,提案,3380000,0,1年以内,高い,100億円以上,0
企業_1357_DADEABKL,150,9,79,0,0,0,IT,51-100名,見積もり,3120000,0,半年以内,低い,100億円以上,1
企業_1358_GTP8SZB0,69,9,64,1,1,0,その他,51-100名,交渉,1990000,0,3ヶ月以内,普通,100億円以上,1
企業_1359_DWOILDRF,56,4,58,1,0,0,小売,101-500名,初期ヒアリング,4200000,1,未定,低い,100億円以上,1
企業_1360_GZMO4FRU,33,6,9,1,0,1,金融,101-500名,見積もり,2690000,0,3ヶ月以内,普通,10億円～100億円,0
企業_1361_Y474MRFN,36,9,6,1,0,0,IT,501名以上,交渉,1860000,0,半年以内,普通,10億円～100億円,0
企業_1362_EDA9PKVR,148,2,73,1,1,0,サービス,11-50名,見積もり,4810000,0,半年以内,低い,1億円未満,1
企業_1363_5PEGE3OP,81,1,75,0,1,0,その他,101-500名,交渉,3560000,0,未定,普通,1億円～10億円,1
企業_1364_M3XP40DY,109,5,80,0,0,0,その他,51-100名,交渉,740000,1,1年以内,低い,1億円～10億円,0
企業_1365_GNN5DFMM,154,4,11,0,1,0,IT,501名以上,見積もり,3610000,1,半年以内,低い,10億円～100億円,0
企業_1366_EVI1O5UC,73,8,78,1,0,1,サービス,501名以上,クロージング,3450000,0,半年以内,普通,10億円～100億円,1
企業_1367_RV50YQVI,40,9,45,1,1,1,その他,51-100名,見積もり,3520000,1,3ヶ月以内,低い,1億円～10億円,0
企業_1368_WWR8H22S,17,3,31,0,0,1,小売,51-100名,見積もり,2290000,1,半年以内,普通,1億円～10億円,0
企業_1369_N5Q94UJX,129,2,31,1,1,0,金融,1-10名,見積もり,3260000,0,未定,低い,1億円未満,1
